"Sex","AGE","Thrown Out","Injury Extent","Seat Belt"
"Male","041","Unknown","Treated at Hospital","Not Worn"
"Male","021","Thrown Out","Admitted to Hospital","Not Worn"
"Female","056","Thrown Out","Treated at Hospital","Not Worn"
"Male","046","Thrown Out","Admitted to Hospital","Not Worn"
"Female","010","Thrown Out","Treated at Hospital","Not Worn"
"Male","068","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","By Private","Not Worn"
"Male","032","Unknown","By Private","Not Worn"
"Male","063","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","Treated at Hospital","Not Worn"
"Male","047","Thrown Out","Treated at Hospital","Not Worn"
"Male","034","Thrown Out","Admitted to Hospital","Not Worn"
"Male","043","Thrown Out","Admitted to Hospital","Not Worn"
"Male","055","Unknown","Admitted to Hospital","Not Worn"
"Male","064","Unknown","Admitted to Hospital","Not Worn"
"Male","007","Thrown Out","Treated at Hospital","Not Worn"
"Female","XXX","Not Thrown Out","Treated at Hospital","Child Restraint - Not Worn"
"Male","024","Unknown","Admitted to Hospital","Not Worn"
"Female","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","071","Thrown Out","Admitted to Hospital","Not Worn"
"Female","058","Thrown Out","Treated at Hospital","Not Worn"
"Male","025","Unknown","Treated at Hospital","Not Worn"
"Male","029","Thrown Out","Treated at Hospital","Not Worn"
"Male","016","Thrown Out","Treated at Hospital","Not Worn"
"Female","055","Thrown Out","Treated at Hospital","Not Worn"
"Male","050","Thrown Out","Admitted to Hospital","Not Worn"
"Male","056","Thrown Out","Admitted to Hospital","Not Worn"
"Male","057","Thrown Out","Treated at Hospital","Not Worn"
"Male","070","Thrown Out","By Private","Not Worn"
"Male","060","Thrown Out","Treated at Hospital","Not Worn"
"Male","042","Unknown","Treated at Hospital","Not Worn"
"Male","032","Thrown Out","Treated at Hospital","Not Worn"
"Male","049","Unknown","Admitted to Hospital","Not Worn"
"Male","035","Thrown Out","Treated at Hospital","Not Worn"
"Female","060","Thrown Out","Admitted to Hospital","Not Worn"
"Female","019","Thrown Out","Treated at Hospital","Not Worn"
"Male","022","Thrown Out","Treated at Hospital","Not Worn"
"Male","017","Thrown Out","Treated at Hospital","Not Worn"
"Male","058","Thrown Out","Treated at Hospital","Not Worn"
"Male","040","Thrown Out","Treated at Hospital","Not Worn"
"Male","051","Thrown Out","Admitted to Hospital","Not Worn"
"Male","019","Thrown Out","Fatal","Not Worn"
"Male","060","Thrown Out","Treated at Hospital","Not Worn"
