"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","BEST_DETECTION_METHOD","NO_DRUGS_DETECTED","COUNT"
2008,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",542
2008,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",216
2008,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",600
2008,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",211
2008,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",438
2008,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",406
2009,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",613
2009,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",254
2009,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",1179
2009,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",252
2009,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",323
2009,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",289
2010,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",735
2010,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",440
2010,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",1699
2010,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",741
2010,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",418
2011,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",666
2011,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",825
2011,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2320
2011,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",573
2011,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",760
2011,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",460
2012,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",37
2012,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",705
2012,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",937
2012,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3237
2012,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",523
2012,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2180
2012,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",623
2013,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",116
2013,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",898
2013,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",84
2013,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",1300
2013,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3737
2013,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",639
2013,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2540
2013,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",539
2014,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",392
2014,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2096
2014,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",90
2014,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2208
2014,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4681
2014,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",1969
2014,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3749
2014,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",1104
2015,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",258
2015,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9123
2015,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",120
2015,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",7446
2015,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5239
2015,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2318
2015,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",7823
2015,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2816
2016,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",444
2016,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",8220
2016,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",196
2016,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",10663
2016,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4310
2016,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2154
2016,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9065
2016,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3651
2017,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",504
2017,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9273
2017,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",329
2017,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",11697
2017,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4337
2017,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2152
2017,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",8252
2017,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3311
2018,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",877
2018,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9067
2018,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",341
2018,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",14020
2018,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5141
2018,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2408
2018,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",11548
2018,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4814
2019,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",852
2019,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9446
2019,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",462
2019,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",13366
2019,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4985
2019,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2487
2019,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",11693
2019,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5175
2020,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",834
2020,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",12652
2020,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",372
2020,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",8871
2020,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5728
2020,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",3273
2020,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",10256
2020,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4919
2021,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",461
2021,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",16997
2021,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",273
2021,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9847
2021,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",4226
2021,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2618
2021,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9717
2021,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5326
2022,"ACT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",390
2022,"NSW","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",9527
2022,"NT","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",181
2022,"QLD","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",12064
2022,"SA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",5607
2022,"TAS","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",2209
2022,"VIC","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",10628
2022,"WA","All regions","All ages","positive_drug_tests","Indicator (Stage 1)","Yes","No",6262
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",3
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",4
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",9
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",11
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","No","No",2
